Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,152.220001,152.690002,152.039993,152.460007,141.425705,1690800
2019-09-17,152.350006,152.869995,152.000000,152.830002,141.768906,2104500
2019-09-18,152.649994,152.839996,151.350006,152.809998,141.750366,1716700
2019-09-19,153.130005,153.610001,152.550003,152.710007,141.657623,2061400
2019-09-20,153.000000,153.229996,151.600006,152.039993,141.036102,2106100
2019-09-23,151.710007,152.460007,151.570007,152.119995,141.110336,2051800
2019-09-24,152.600006,152.809998,150.199997,150.710007,139.802383,4234600
2019-09-25,150.729996,151.910004,149.919998,151.660004,140.683640,6144100
2019-09-26,151.660004,151.660004,150.470001,151.199997,140.256882,1723000
2019-09-27,151.639999,151.710007,149.440002,150.300003,139.422043,1940200
2019-09-30,150.649994,151.369995,150.550003,151.000000,140.071365,1702000
2019-10-01,151.500000,151.880005,148.919998,149.029999,138.243942,2823000
2019-10-02,148.179993,148.240005,145.820007,146.610001,135.999100,3811500
2019-10-03,146.479996,147.800003,144.899994,147.800003,137.103012,4380400
2019-10-04,148.360001,149.809998,148.039993,149.729996,138.893295,2509200
2019-10-07,149.380005,150.190002,148.889999,149.139999,138.345993,2237400
2019-10-08,148.039993,148.360001,146.710007,146.729996,136.110397,2213900
2019-10-09,147.850006,148.589996,147.520004,148.080002,137.362701,3294600
2019-10-10,148.000000,149.500000,147.990005,149.029999,138.243942,3508900
2019-10-11,150.509995,151.899994,150.470001,150.630005,139.728149,3377100
2019-10-14,150.520004,150.750000,150.250000,150.490005,139.598297,1213500
2019-10-15,151.029999,152.330002,150.919998,151.970001,140.971191,2153200
2019-10-16,151.639999,152.050003,151.369995,151.690002,140.711472,1578400
2019-10-17,152.330002,152.639999,151.839996,152.190002,141.175262,1640400
2019-10-18,151.940002,152.199997,150.899994,151.580002,140.609421,1720000
2019-10-21,152.350006,152.690002,152.059998,152.570007,141.527771,1710100
2019-10-22,152.929993,153.009995,152.039993,152.110001,141.101028,1711800
2019-10-23,151.970001,152.490005,151.770004,152.419998,141.388596,1804000
2019-10-24,153.009995,153.080002,152.279999,152.839996,141.778214,1582200
2019-10-25,152.490005,153.759995,152.419998,153.449997,142.344025,2461600
2019-10-28,154.119995,154.660004,154.000000,154.380005,143.206772,2725500
2019-10-29,154.229996,154.800003,154.110001,154.350006,143.178955,1561500
2019-10-30,154.399994,154.940002,153.639999,154.720001,143.522171,2246000
2019-10-31,154.679993,154.679993,153.419998,154.179993,143.021240,2224400
2019-11-01,155.000000,155.830002,154.919998,155.830002,144.551773,2341400
2019-11-04,156.699997,156.770004,156.179993,156.399994,145.080536,2150600
2019-11-05,156.600006,156.779999,156.070007,156.259995,144.950699,2377100
2019-11-06,156.240005,156.300003,155.630005,156.190002,144.885773,2288400
2019-11-07,157.000000,157.339996,156.410004,156.720001,145.377380,2407300
2019-11-08,156.559998,157.160004,156.080002,157.160004,145.785553,2132400
2019-11-11,156.399994,156.929993,156.250000,156.850006,145.497971,1738900
2019-11-12,157.029999,157.690002,156.740005,157.119995,145.748428,1730700
2019-11-13,156.570007,157.389999,156.389999,157.190002,145.813370,2189400
2019-11-14,156.990005,157.440002,156.720001,157.350006,145.961807,2096200
2019-11-15,158.149994,158.550003,157.789993,158.550003,147.074951,2615300
2019-11-18,158.419998,158.740005,158.119995,158.639999,147.158401,3128400
2019-11-19,159.050003,159.149994,158.259995,158.690002,147.204834,2225200
2019-11-20,158.320007,158.720001,157.250000,158.190002,146.740967,3336200
2019-11-21,158.270004,158.339996,157.440002,157.789993,146.369949,2220300
2019-11-22,158.309998,158.339996,157.610001,158.139999,146.694611,1886000
2019-11-25,158.759995,159.639999,158.600006,159.639999,148.086044,2525300
2019-11-26,159.669998,160.059998,159.479996,159.979996,148.401428,1884900
2019-11-27,160.380005,160.740005,160.020004,160.740005,149.106445,2343200
