Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,226.050003,226.710007,225.639999,226.320007,222.953125,2291700
2023-07-25,226.020004,227.600006,226.020004,226.889999,223.514618,2084400
2023-07-26,226.429993,227.770004,226.050003,227.059998,223.682098,1985600
2023-07-27,228.809998,228.970001,224.830002,225.309998,221.958115,4730600
2023-07-28,227.169998,228.029999,226.770004,227.660004,224.273178,2257600
2023-07-31,228.119995,228.559998,227.559998,228.350006,224.952911,2658500
2023-08-01,227.649994,228.000000,227.070007,227.729996,224.342133,2809500
2023-08-02,225.990005,226.139999,224.070007,224.500000,221.160172,4239000
2023-08-03,223.479996,224.770004,222.990005,223.850006,220.519852,2925200
2023-08-04,224.740005,225.839996,222.610001,222.899994,219.583984,3023100
2023-08-07,223.720001,224.710007,223.220001,224.610001,221.268539,2376600
2023-08-08,223.199997,223.770004,221.699997,223.570007,220.244019,2796400
2023-08-09,223.660004,223.690002,221.559998,221.970001,218.667831,2203400
2023-08-10,223.240005,224.880005,221.339996,222.009995,218.707230,3033300
2023-08-11,221.100006,222.410004,220.770004,221.800003,218.500351,2219700
2023-08-14,221.320007,222.919998,221.050003,222.899994,219.583984,2435100
2023-08-15,222.000000,222.240005,220.039993,220.369995,217.091614,2997300
2023-08-16,220.130005,220.960007,218.550003,218.550003,215.298706,2933500
2023-08-17,219.279999,219.500000,216.550003,216.759995,213.535324,3135900
2023-08-18,215.229996,217.559998,215.029999,217.009995,213.781586,2931700
2023-08-21,217.410004,218.679993,216.360001,218.259995,215.012985,2755400
2023-08-22,219.220001,219.220001,217.380005,217.679993,214.441650,2892300
2023-08-23,218.080002,220.399994,218.080002,220.059998,216.786224,2560200
2023-08-24,220.699997,221.139999,217.080002,217.110001,213.880127,3099400
2023-08-25,217.979996,219.240005,216.050003,218.589996,215.338120,3631000
2023-08-28,219.570007,220.320007,219.100006,219.990005,216.717270,2364700
2023-08-29,219.940002,223.320007,219.800003,223.190002,219.869675,3160300
2023-08-30,223.250000,224.500000,223.050003,224.179993,220.844940,2420800
2023-08-31,224.500000,225.179993,223.880005,223.940002,220.608521,3044000
2023-09-01,225.339996,225.779999,223.960007,224.679993,221.337479,3047300
2023-09-05,224.259995,224.639999,223.279999,223.339996,220.017441,2531500
2023-09-06,222.990005,223.179993,220.750000,221.940002,218.638275,2473700
2023-09-07,220.380005,221.500000,220.080002,221.179993,217.889572,2964700
2023-09-08,221.210007,222.179993,220.979996,221.419998,218.126007,2244400
2023-09-11,222.660004,223.039993,221.949997,222.809998,219.495300,2087900
2023-09-12,222.139999,222.970001,221.449997,221.729996,218.431396,2448500
2023-09-13,221.789993,222.300003,221.100006,221.759995,218.460938,1990000
2023-09-14,222.850006,223.979996,222.339996,223.660004,220.332687,2002400
2023-09-15,222.889999,222.919998,220.759995,221.029999,217.741806,2638100
2023-09-18,220.910004,221.690002,220.550003,221.050003,217.761505,2259600
2023-09-19,220.610001,220.869995,219.169998,220.490005,217.209839,2977800
2023-09-20,221.130005,221.490005,218.449997,218.539993,215.288834,2448400
